sceneCategory,sceneID,id,gt_bc_plan_len,gt_success,vorm_bc_plan_len,vorm_success,fcl_bc_plan_len,fcl_success,grn_bc_plan_len,grn_success
RigidObjCellShelfDesk,0,48,1,1,1,0,1,1,1,1
RigidObjCellShelfDesk,0,49,1,0,1,1,1,1,1,1
RigidObjCellShelfDesk,0,50,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,51,3,0,0,0,0,0,1,0
RigidObjCellShelfDesk,0,52,2,1,2,1,2,0,1,1
RigidObjCellShelfDesk,0,53,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,54,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,55,3,0,2,0,4,1,1,0
RigidObjCellShelfDesk,0,56,2,1,2,1,2,1,1,0
RigidObjCellShelfDesk,0,57,2,1,1,0,0,0,1,0
RigidObjCellShelfDesk,0,58,2,0,0,0,0,0,1,0
RigidObjCellShelfDesk,0,59,2,1,2,1,2,1,1,0
RigidObjCellShelfDesk,1,0,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,1,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,2,2,0,0,0,0,0,1,0
RigidObjCellShelfDesk,1,3,2,0,2,0,0,0,1,0
RigidObjCellShelfDesk,1,4,2,0,0,0,0,0,1,0
RigidObjCellShelfDesk,1,5,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,6,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,7,2,0,2,0,0,0,1,0
RigidObjCellShelfDesk,1,8,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,9,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,10,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,11,2,0,2,0,0,0,2,0
RigidObjCellShelfDesk,1,12,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,13,2,0,2,0,2,0,1,0
RigidObjCellShelfDesk,1,14,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,15,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,16,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,17,1,1,1,1,1,0,1,1
RigidObjCellShelfDesk,1,18,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,19,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,20,2,1,2,1,0,0,1,0
RigidObjCellShelfDesk,1,21,3,0,3,0,0,0,1,0
RigidObjCellShelfDesk,1,22,2,0,2,0,2,0,2,0
RigidObjCellShelfDesk,1,23,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,24,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,25,3,0,0,0,0,0,1,0
RigidObjCellShelfDesk,1,26,2,0,2,0,2,0,2,0
RigidObjCellShelfDesk,1,27,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,28,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,29,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,30,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,31,2,0,2,1,2,1,1,0
RigidObjCellShelfDesk,1,32,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,33,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,34,2,0,0,0,3,0,1,0
RigidObjCellShelfDesk,1,35,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,36,2,0,2,0,3,1,1,0
RigidObjCellShelfDesk,1,37,2,1,2,1,2,1,1,0
RigidObjCellShelfDesk,1,38,2,0,0,0,0,0,1,0
RigidObjCellShelfDesk,1,39,2,1,1,0,1,0,1,0
RigidObjCellShelfDesk,1,40,1,0,1,0,1,1,1,0
RigidObjCellShelfDesk,1,41,2,1,2,1,0,0,2,0
RigidObjCellShelfDesk,1,42,1,0,1,0,1,1,1,0
RigidObjCellShelfDesk,1,43,2,1,2,0,2,1,1,0
RigidObjCellShelfDesk,1,44,2,1,2,0,2,1,1,1
RigidObjCellShelfDesk,1,45,4,0,1,0,0,0,1,0
RigidObjCellShelfDesk,1,46,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,47,2,0,1,0,3,0,1,0
RigidObjCellShelfDesk,1,48,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,49,2,0,2,0,3,0,1,0
RigidObjCellShelfDesk,1,50,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,51,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,52,3,0,3,0,4,0,1,0
RigidObjCellShelfDesk,1,53,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,1,54,2,0,0,0,0,0,1,0
RigidObjCellShelfDesk,1,55,2,1,1,0,1,0,1,0
RigidObjCellShelfDesk,1,56,4,0,3,0,0,0,1,0
RigidObjCellShelfDesk,1,57,2,1,2,1,2,1,1,0
RigidObjCellShelfDesk,1,58,2,1,2,1,1,0,1,0
RigidObjCellShelfDesk,1,59,3,1,2,0,3,0,1,0
RigidObjCellShelfDesk,2,0,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,1,1,0,1,0,1,0,0,0
RigidObjCellShelfDesk,2,2,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,3,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,4,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,5,2,1,2,1,2,0,1,1
RigidObjCellShelfDesk,2,6,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,7,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,8,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,9,3,0,0,0,0,0,1,0
RigidObjCellShelfDesk,2,10,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,11,1,1,1,0,1,1,1,1
RigidObjCellShelfDesk,2,12,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,13,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,14,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,15,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,16,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,17,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,18,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,19,2,1,2,1,2,0,1,0
RigidObjCellShelfDesk,2,20,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,21,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,22,2,0,2,0,3,0,1,0
RigidObjCellShelfDesk,2,23,2,0,3,0,0,0,1,0
RigidObjCellShelfDesk,2,24,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,25,2,1,2,1,2,0,1,0
RigidObjCellShelfDesk,2,26,2,0,2,0,3,0,1,0
RigidObjCellShelfDesk,2,27,2,0,0,0,0,0,1,0
RigidObjCellShelfDesk,2,28,2,1,2,1,2,1,1,0
RigidObjCellShelfDesk,2,29,3,1,1,0,0,0,1,0
RigidObjCellShelfDesk,2,30,2,0,2,0,2,0,2,0
RigidObjCellShelfDesk,2,31,2,1,2,0,2,0,1,0
RigidObjCellShelfDesk,2,32,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,33,2,0,2,0,2,0,1,0
RigidObjCellShelfDesk,2,34,2,0,0,0,0,0,1,0
RigidObjCellShelfDesk,2,35,2,1,2,1,0,0,1,0
RigidObjCellShelfDesk,2,36,3,0,3,0,3,0,1,0
RigidObjCellShelfDesk,2,37,1,1,1,1,1,1,1,0
RigidObjCellShelfDesk,2,38,2,0,2,0,0,0,1,0
RigidObjCellShelfDesk,2,39,2,1,2,0,2,0,1,0
RigidObjCellShelfDesk,2,40,3,0,2,0,2,0,1,0
RigidObjCellShelfDesk,2,41,2,0,2,1,2,1,1,0
RigidObjCellShelfDesk,2,42,2,1,2,1,2,1,1,0
RigidObjCellShelfDesk,2,43,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,44,2,0,2,0,2,0,1,0
RigidObjCellShelfDesk,2,45,4,0,0,0,4,0,1,0
RigidObjCellShelfDesk,2,46,3,0,0,0,2,0,1,0
RigidObjCellShelfDesk,2,47,2,1,1,0,2,1,1,0
RigidObjCellShelfDesk,2,48,3,0,3,0,3,1,1,0
RigidObjCellShelfDesk,2,49,2,0,0,0,0,0,4,0
RigidObjCellShelfDesk,2,50,2,1,1,0,0,0,1,0
RigidObjCellShelfDesk,2,51,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,52,2,0,1,1,2,1,1,0
RigidObjCellShelfDesk,2,53,2,0,2,0,2,0,1,0
RigidObjCellShelfDesk,2,54,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,2,55,3,0,3,0,2,0,1,0
RigidObjCellShelfDesk,2,56,3,0,2,0,0,0,1,0
RigidObjCellShelfDesk,2,57,2,1,1,0,1,0,1,0
RigidObjCellShelfDesk,2,58,2,1,1,0,2,1,1,0
RigidObjCellShelfDesk,2,59,2,1,2,1,2,1,1,0
RigidObjDeskWall,0,0,1,1,1,1,1,1,1,1
RigidObjDeskWall,0,1,2,0,2,0,2,0,1,0
RigidObjDeskWall,0,2,1,1,1,1,1,0,1,0
RigidObjDeskWall,0,3,1,1,1,1,1,1,1,0
RigidObjDeskWall,0,4,2,1,2,1,0,0,0,0
RigidObjDeskWall,0,5,1,1,1,1,1,1,1,1
RigidObjDeskWall,0,6,1,1,1,1,1,1,1,1
RigidObjDeskWall,0,7,1,1,1,1,1,1,1,1
RigidObjDeskWall,0,8,1,1,1,1,1,1,1,1
RigidObjDeskWall,0,9,1,1,1,1,1,1,1,1
RigidObjDeskWall,0,10,1,1,1,1,1,1,1,1
RigidObjDeskWall,0,11,1,1,1,1,1,1,1,1
RigidObjDeskWall,0,12,1,1,1,1,1,1,1,1
RigidObjDeskWall,0,13,2,1,1,0,0,0,1,0
RigidObjDeskWall,0,14,1,1,1,1,1,1,1,1
RigidObjDeskWall,0,15,1,1,1,1,1,1,1,1
RigidObjDeskWall,0,16,2,1,2,0,2,0,1,0
RigidObjDeskWall,0,17,1,1,1,1,1,1,1,1
RigidObjDeskWall,0,18,1,1,1,1,1,1,1,1
RigidObjDeskWall,0,19,1,1,1,1,1,1,1,1
RigidObjDeskWall,0,20,3,1,3,1,3,0,1,0
RigidObjDeskWall,0,21,2,0,2,0,0,0,1,0
RigidObjDeskWall,0,22,3,0,3,0,3,0,1,0
RigidObjDeskWall,0,23,3,0,0,0,3,0,1,0
RigidObjDeskWall,0,24,2,1,2,1,2,1,1,1
RigidObjDeskWall,0,25,2,0,2,0,2,0,1,0
RigidObjDeskWall,0,26,2,1,2,0,2,1,1,0
RigidObjDeskWall,0,27,2,0,2,0,5,0,1,0
RigidObjDeskWall,0,28,2,1,2,1,2,1,1,0
RigidObjDeskWall,0,29,3,1,3,0,0,0,1,0
RigidObjDeskWall,0,30,3,0,0,0,4,0,1,0
RigidObjDeskWall,0,31,1,1,1,1,1,1,1,1
RigidObjDeskWall,0,32,5,1,0,0,0,0,1,0
RigidObjDeskWall,0,33,2,1,1,0,2,1,1,0
RigidObjDeskWall,0,34,2,0,0,0,0,0,1,0
RigidObjDeskWall,0,35,5,0,0,0,5,0,1,0
RigidObjDeskWall,0,36,2,0,2,0,0,0,1,0
RigidObjDeskWall,0,37,3,0,3,0,0,0,1,0
RigidObjDeskWall,0,38,2,1,1,0,2,1,1,0
RigidObjDeskWall,0,39,1,1,1,1,1,1,1,1
RigidObjDeskWall,0,40,2,0,2,0,3,0,1,0
RigidObjDeskWall,0,41,2,0,2,0,2,1,1,0
RigidObjDeskWall,0,42,2,1,1,1,0,0,0,0
RigidObjDeskWall,0,43,2,1,2,1,2,0,1,0
RigidObjDeskWall,0,44,1,1,1,1,1,1,1,1
RigidObjDeskWall,0,45,3,0,2,0,3,0,1,0
RigidObjDeskWall,0,46,3,1,3,0,3,0,1,0
RigidObjDeskWall,0,47,1,1,1,1,1,1,1,1
RigidObjDeskWall,0,48,1,1,1,1,1,1,1,1
RigidObjDeskWall,0,49,3,0,3,0,3,0,1,0
RigidObjDeskWall,0,50,4,0,4,0,0,0,1,0
RigidObjDeskWall,0,51,2,1,2,1,2,0,1,0
RigidObjDeskWall,0,52,2,0,2,1,2,0,1,0
RigidObjDeskWall,0,53,2,1,2,1,2,0,1,0
RigidObjDeskWall,0,54,1,1,1,1,1,1,1,1
RigidObjDeskWall,0,55,5,0,0,0,5,0,1,0
RigidObjDeskWall,0,56,3,0,2,0,3,0,1,0
RigidObjDeskWall,0,57,2,1,2,0,2,0,1,0
RigidObjDeskWall,0,58,4,0,0,0,0,0,1,0
RigidObjDeskWall,0,59,2,1,2,1,2,0,1,0
RigidObjDeskWall,1,0,2,0,2,0,2,0,2,0
RigidObjDeskWall,1,1,2,1,2,1,1,0,1,0
RigidObjDeskWall,1,2,2,1,2,1,2,0,1,0
RigidObjDeskWall,1,3,2,0,2,0,2,0,1,0
RigidObjDeskWall,1,4,1,1,1,1,1,1,1,1
RigidObjDeskWall,1,5,1,1,1,1,1,1,1,1
RigidObjDeskWall,1,6,1,1,1,1,1,1,1,1
RigidObjDeskWall,1,7,2,1,2,1,2,1,1,0
RigidObjDeskWall,1,8,2,0,2,0,3,0,1,0
RigidObjDeskWall,1,9,1,1,1,1,1,1,1,1
RigidObjDeskWall,1,10,1,1,1,1,1,1,1,1
RigidObjDeskWall,1,11,2,1,1,0,3,0,1,0
RigidObjDeskWall,1,12,1,1,1,1,1,1,1,1
RigidObjDeskWall,1,13,2,1,2,1,2,0,1,0
RigidObjDeskWall,1,14,2,1,1,0,2,0,1,0
RigidObjDeskWall,1,15,2,0,1,0,2,0,1,0
RigidObjDeskWall,1,16,1,1,1,1,1,1,1,1
RigidObjDeskWall,1,17,2,1,2,1,0,0,1,0
RigidObjDeskWall,1,18,2,0,2,0,2,0,1,0
RigidObjDeskWall,1,19,2,1,2,1,1,0,1,0
RigidObjDeskWall,1,20,3,0,3,0,0,0,1,0
RigidObjDeskWall,1,21,5,0,2,0,0,0,1,0
RigidObjDeskWall,1,22,1,1,1,1,1,1,1,1
RigidObjDeskWall,1,23,1,1,1,1,1,1,1,1
RigidObjDeskWall,1,24,2,0,2,0,2,0,1,0
RigidObjDeskWall,1,25,3,0,2,0,3,1,1,0
RigidObjDeskWall,1,26,3,1,2,0,3,0,1,0
RigidObjDeskWall,1,27,3,0,2,0,2,0,1,0
RigidObjDeskWall,1,28,4,0,2,0,2,0,1,0
RigidObjDeskWall,1,29,2,1,1,0,2,1,1,0
RigidObjDeskWall,1,30,2,1,2,0,2,0,1,0
RigidObjDeskWall,1,31,3,1,2,0,3,1,2,0
RigidObjDeskWall,1,32,2,0,2,1,3,0,2,0
RigidObjDeskWall,1,33,2,1,2,0,2,0,1,0
RigidObjDeskWall,1,34,3,0,3,0,2,0,1,0
RigidObjDeskWall,1,35,2,0,3,0,3,1,1,0
RigidObjDeskWall,1,36,2,1,3,0,3,1,1,0
RigidObjDeskWall,1,37,3,1,3,1,3,1,3,0
RigidObjDeskWall,1,38,2,0,1,1,2,1,1,0
RigidObjDeskWall,1,39,2,1,2,1,2,0,1,0
RigidObjDeskWall,1,40,1,1,1,1,1,1,1,1
RigidObjDeskWall,1,41,1,1,1,1,1,1,1,1
RigidObjDeskWall,1,42,2,1,2,1,2,1,1,0
RigidObjDeskWall,1,43,2,1,2,1,2,1,1,0
RigidObjDeskWall,1,44,2,1,2,1,2,1,1,0
RigidObjDeskWall,1,45,2,1,1,0,2,1,1,0
RigidObjDeskWall,1,46,3,1,2,0,2,0,1,0
RigidObjDeskWall,1,47,3,1,2,0,2,0,2,0
RigidObjDeskWall,1,48,1,1,1,0,1,1,1,1
RigidObjDeskWall,1,49,3,1,3,1,3,1,1,0
RigidObjDeskWall,1,50,2,1,1,0,3,0,1,0
RigidObjDeskWall,1,51,1,1,1,1,1,1,1,1
RigidObjDeskWall,1,52,2,0,2,1,2,0,2,1
RigidObjDeskWall,1,53,2,1,2,1,2,1,1,0
RigidObjDeskWall,1,54,2,1,2,0,2,0,1,0
RigidObjDeskWall,1,55,2,1,2,1,2,1,1,0
RigidObjDeskWall,1,56,2,0,1,0,3,1,1,0
RigidObjDeskWall,1,57,2,1,2,1,2,0,1,0
RigidObjDeskWall,1,58,2,0,1,0,2,0,2,0
RigidObjDeskWall,1,59,3,0,2,0,2,0,1,0
RigidObjDesk,0,0,1,1,1,1,1,1,1,1
RigidObjDesk,0,1,1,1,1,1,1,1,1,1
RigidObjDesk,0,2,1,1,1,1,1,1,1,1
RigidObjDesk,0,3,1,1,1,1,1,1,1,1
RigidObjDesk,0,4,1,1,1,1,1,1,0,0
RigidObjDesk,0,5,2,1,2,1,3,0,1,0
RigidObjDesk,0,6,1,0,1,1,1,1,1,0
RigidObjDesk,0,7,1,1,1,1,1,1,1,1
RigidObjDesk,0,8,1,1,1,1,1,1,1,1
RigidObjDesk,0,9,2,1,2,1,0,0,1,0
RigidObjDesk,0,10,1,1,1,1,1,1,1,1
RigidObjDesk,0,11,1,1,1,1,1,1,1,1
RigidObjDesk,0,12,2,0,2,1,0,0,1,0
RigidObjDesk,0,13,1,1,1,1,1,1,1,1
RigidObjDesk,0,14,1,1,1,1,1,1,1,1
RigidObjDesk,0,15,2,1,2,1,0,0,1,0
RigidObjDesk,0,16,1,1,1,1,1,1,1,1
RigidObjDesk,0,17,1,1,1,1,1,1,1,1
RigidObjDesk,0,18,2,0,2,0,2,0,1,1
RigidObjDesk,0,19,1,1,1,1,1,1,1,1
RigidObjDesk,0,20,1,1,1,1,1,1,1,1
RigidObjDesk,0,21,1,1,1,1,1,1,1,1
RigidObjDesk,0,22,1,1,1,1,1,1,1,1
RigidObjDesk,0,23,3,1,1,0,2,0,1,0
RigidObjDesk,0,24,3,1,2,0,2,0,1,0
RigidObjDesk,0,25,2,1,2,1,2,1,1,1
RigidObjDesk,0,26,1,1,1,1,1,1,1,1
RigidObjDesk,0,27,3,0,2,0,2,0,1,0
RigidObjDesk,0,28,2,0,2,0,2,0,2,0
RigidObjDesk,0,29,3,1,3,1,3,1,1,0
RigidObjDesk,0,30,3,1,1,0,1,0,1,0
RigidObjDesk,0,31,1,1,1,1,1,1,1,1
RigidObjDesk,0,32,1,1,1,1,1,1,1,1
RigidObjDesk,0,33,2,1,2,1,2,1,2,1
RigidObjDesk,0,34,2,0,1,0,1,0,1,0
RigidObjDesk,0,35,2,1,2,1,2,0,1,0
RigidObjDesk,0,36,2,1,2,0,2,1,1,0
RigidObjDesk,0,37,2,1,1,1,2,1,1,1
RigidObjDesk,0,38,2,1,2,1,2,1,1,0
RigidObjDesk,0,39,2,1,2,1,2,0,1,0
RigidObjDesk,0,40,2,1,2,1,2,1,1,0
RigidObjDesk,0,41,3,1,3,1,2,0,1,0
RigidObjDesk,0,42,2,1,2,1,2,1,1,0
RigidObjDesk,0,43,2,1,2,1,2,1,1,0
RigidObjDesk,0,44,3,1,3,1,3,0,1,0
RigidObjDesk,0,45,3,0,3,1,3,1,1,0
RigidObjDesk,0,46,3,1,2,0,0,0,0,0
RigidObjDesk,0,47,1,1,1,1,1,1,1,1
RigidObjDesk,0,48,2,0,2,0,2,0,1,0
RigidObjDesk,0,49,2,1,2,1,2,1,1,0
RigidObjDesk,0,50,3,0,2,0,3,0,1,0
RigidObjDesk,0,51,5,0,4,0,5,0,1,0
RigidObjDesk,0,52,4,0,4,0,0,0,1,0
RigidObjDesk,0,53,3,0,3,0,3,0,1,0
RigidObjDesk,0,54,3,0,2,0,3,0,1,0
RigidObjDesk,0,55,4,0,2,0,2,0,1,0
RigidObjDesk,0,56,4,0,2,0,1,0,2,0
RigidObjDesk,0,57,2,0,2,0,2,0,1,0
RigidObjDesk,0,58,1,1,1,1,1,1,1,1
RigidObjDesk,0,59,1,1,1,1,1,1,1,1
RigidObjDoubleDoorCabinet,0,0,1,1,1,1,1,1,1,1
RigidObjDoubleDoorCabinet,0,1,2,0,1,0,2,0,1,0
RigidObjDoubleDoorCabinet,0,2,1,1,1,1,1,1,1,0
RigidObjDoubleDoorCabinet,0,3,2,1,2,1,2,1,1,0
RigidObjDoubleDoorCabinet,0,4,1,1,1,1,1,1,1,1
RigidObjDoubleDoorCabinet,0,5,1,1,1,1,1,1,1,1
RigidObjDoubleDoorCabinet,0,6,1,1,1,1,1,1,1,1
RigidObjDoubleDoorCabinet,0,7,3,1,1,0,4,0,1,0
RigidObjDoubleDoorCabinet,0,8,1,1,1,1,1,1,1,1
RigidObjDoubleDoorCabinet,0,9,1,0,1,0,1,0,1,1
RigidObjDoubleDoorCabinet,0,10,1,1,1,1,1,1,1,1
RigidObjDoubleDoorCabinet,0,11,2,0,0,0,0,0,1,0
RigidObjDoubleDoorCabinet,0,12,1,1,1,1,1,1,1,1
RigidObjDoubleDoorCabinet,0,13,1,1,1,1,1,1,1,1
RigidObjDoubleDoorCabinet,0,14,1,0,1,0,1,0,1,0
RigidObjDoubleDoorCabinet,0,15,1,1,1,1,1,1,1,0
RigidObjDoubleDoorCabinet,0,16,2,1,1,0,2,0,1,0
RigidObjDoubleDoorCabinet,0,17,1,1,1,1,1,1,1,1
RigidObjDoubleDoorCabinet,0,18,1,1,1,1,1,1,1,1
RigidObjDoubleDoorCabinet,0,19,1,1,1,1,1,1,1,0
RigidObjDoubleDoorCabinet,0,20,2,0,2,0,0,0,1,0
RigidObjDoubleDoorCabinet,0,21,1,1,1,1,1,1,1,0
RigidObjDoubleDoorCabinet,0,22,2,0,2,1,2,0,1,0
RigidObjDoubleDoorCabinet,0,23,1,0,1,1,1,1,1,0
RigidObjDoubleDoorCabinet,0,24,1,1,1,1,1,1,1,1
RigidObjDoubleDoorCabinet,0,25,3,0,2,0,1,0,1,0
RigidObjDoubleDoorCabinet,0,26,1,1,1,1,1,0,0,0
RigidObjDoubleDoorCabinet,0,27,3,0,3,0,0,0,1,0
RigidObjDoubleDoorCabinet,0,28,1,1,1,1,1,1,1,1
RigidObjDoubleDoorCabinet,0,29,2,0,2,1,2,0,1,0
RigidObjDoubleDoorCabinet,0,30,2,1,2,0,2,1,1,0
RigidObjDoubleDoorCabinet,0,31,2,0,2,0,2,0,1,0
RigidObjDoubleDoorCabinet,0,32,3,1,2,0,3,0,1,0
RigidObjDoubleDoorCabinet,0,33,2,0,2,0,2,0,4,0
RigidObjDoubleDoorCabinet,0,34,2,0,2,1,2,1,1,0
RigidObjDoubleDoorCabinet,0,35,1,1,1,1,1,0,1,0
RigidObjDoubleDoorCabinet,0,36,2,1,2,0,2,0,2,0
RigidObjDoubleDoorCabinet,0,37,2,1,0,0,4,0,2,0
RigidObjDoubleDoorCabinet,0,38,2,1,2,0,2,1,1,0
RigidObjDoubleDoorCabinet,0,39,2,0,2,0,2,0,1,0
RigidObjDoubleDoorCabinet,0,40,2,0,2,0,3,0,1,0
RigidObjDoubleDoorCabinet,0,41,2,0,1,0,2,0,1,0
RigidObjDoubleDoorCabinet,0,42,2,1,1,1,2,0,1,1
RigidObjDoubleDoorCabinet,0,43,2,1,2,1,2,1,1,0
RigidObjDoubleDoorCabinet,0,44,1,1,1,1,1,0,1,1
RigidObjDoubleDoorCabinet,0,45,3,0,0,0,0,0,1,0
RigidObjDoubleDoorCabinet,0,46,4,0,3,0,1,0,1,0
RigidObjDoubleDoorCabinet,0,47,1,1,1,1,1,1,1,1
RigidObjDoubleDoorCabinet,0,48,2,0,2,0,2,0,1,0
RigidObjDoubleDoorCabinet,0,49,3,0,1,0,0,0,1,0
RigidObjDoubleDoorCabinet,0,50,1,1,1,1,1,1,1,1
RigidObjDoubleDoorCabinet,0,51,3,0,0,0,3,0,1,0
RigidObjDoubleDoorCabinet,0,52,2,0,2,0,0,0,1,0
RigidObjDoubleDoorCabinet,0,53,4,0,0,0,4,0,1,0
RigidObjDoubleDoorCabinet,0,54,1,1,1,1,1,0,1,1
RigidObjDoubleDoorCabinet,0,55,3,0,3,0,3,0,0,0
RigidObjDoubleDoorCabinet,0,56,2,0,2,0,0,0,1,0
RigidObjDoubleDoorCabinet,0,57,3,0,0,0,3,0,1,0
RigidObjDoubleDoorCabinet,0,58,2,0,2,0,0,0,1,0
RigidObjDoubleDoorCabinet,0,59,2,0,2,1,2,0,1,0
RigidObjDrawerShelf,0,0,2,1,2,1,1,0,1,0
